name,L1
description,
author, My Tracks

Location,Time,Latitude,Longitude,Altitude,Accuracy(m),Speed(m/s),Bearing
1,2024-02-03T09:44:01.928Z,41.344383,2.1066675,61.75719,3.016,0.09987492,-9999.0
2,2024-02-03T09:44:02.929Z,41.344383,2.1066673,61.842564,3.0,0.042322014,-9999.0
3,2024-02-03T09:44:05.138Z,41.344383,2.106666,61.70921,3.0,0.09432263,-9999.0
4,2024-02-03T09:44:06.980Z,41.344383,2.106666,61.513695,3.078,0.08146406,-9999.0
5,2024-02-03T09:44:07.929Z,41.344383,2.106666,61.513695,3.305,0.05167018,-9999.0
6,2024-02-03T09:44:08.627Z,41.344383,2.106666,61.513695,3.37,0.07974201,-9999.0
7,2024-02-03T09:44:11.808Z,41.344387,2.1066663,60.83594,3.696,0.12141491,331.29312
8,2024-02-03T09:44:14.929Z,41.344383,2.1066685,60.805866,3.912,0.10941416,323.66953
9,2024-02-03T09:44:17.167Z,41.344383,2.1066687,60.86702,3.383,0.038065013,-9999.0
10,2024-02-03T09:44:18.307Z,41.344383,2.1066685,60.898098,3.435,0.12437221,325.7733
11,2024-02-03T09:44:18.379Z,41.344383,2.1066701,60.898098,3.374,0.14660473,317.99933
12,2024-02-03T09:44:21.928Z,41.344383,2.1066725,61.27808,3.245,0.10949749,299.54068
13,2024-02-03T09:44:24.929Z,41.344383,2.1066716,61.021416,3.0,0.11298094,284.78473
14,2024-02-03T09:44:27.929Z,41.344383,2.1066704,61.26705,3.13,0.12333507,283.9794
15,2024-02-03T09:44:30.813Z,41.344383,2.1066694,61.276173,3.875,0.19002318,284.92438
16,2024-02-03T09:44:33.929Z,41.344383,2.106668,61.49364,4.242,0.12285891,278.26935
17,2024-02-03T09:44:36.929Z,41.344383,2.106667,61.441505,4.365,0.117162235,273.55612
18,2024-02-03T09:44:39.929Z,41.344376,2.1066604,61.319187,4.183,0.11733756,273.39856
19,2024-02-03T09:44:42.929Z,41.344376,2.1066597,61.288105,3.9,0.09827296,-9999.0
20,2024-02-03T09:44:45.929Z,41.344376,2.1066601,61.276173,17.39,0.059659887,-9999.0
21,2024-02-03T09:44:48.928Z,41.34437,2.1066608,61.307255,4.055,0.18172535,245.95926
22,2024-02-03T09:44:51.929Z,41.34437,2.1066651,61.349262,3.845,0.16920188,249.90825
23,2024-02-03T09:44:54.928Z,41.34437,2.1066628,61.40952,3.9,0.17570588,254.40323
24,2024-02-03T09:44:57.929Z,41.344368,2.1066658,61.411427,3.9,0.15961307,252.65459
25,2024-02-03T09:45:00.929Z,41.344364,2.106665,61.50367,3.834,0.1309361,228.99236
26,2024-02-03T09:45:03.687Z,41.344364,2.1066644,61.42145,3.686,0.17739862,198.9607
27,2024-02-03T09:45:07.928Z,41.344368,2.106664,61.257023,3.42,0.16190286,201.48282
28,2024-02-03T09:45:11.029Z,41.34436,2.106659,61.202736,4.149,0.2375042,201.15546
29,2024-02-03T09:45:13.928Z,41.344345,2.1066546,59.100002,4.918,0.59742194,195.6673
30,2024-02-03T09:45:17.111Z,41.34432,2.1067047,59.782322,5.499,0.80543107,153.45374
31,2024-02-03T09:45:19.929Z,41.34432,2.1067579,59.687454,3.932,0.97648394,128.91399
32,2024-02-03T09:45:22.999Z,41.344322,2.1068008,60.048973,3.512,0.8967954,116.23909
33,2024-02-03T09:45:25.929Z,41.344322,2.1068451,60.16123,3.261,1.0105414,109.25425
34,2024-02-03T09:45:28.655Z,41.344315,2.1068904,60.324635,3.627,1.144996,107.25803
35,2024-02-03T09:45:31.444Z,41.34431,2.1069365,59.300003,4.653,1.1662073,104.10941
36,2024-02-03T09:45:34.795Z,41.34433,2.1069982,59.300003,5.191,1.2636591,92.71081
37,2024-02-03T09:45:37.527Z,41.34437,2.1070623,59.300003,5.51,1.3835505,73.85759
